inf,imm
0,0
104,1
105,1
104,2
107,2
109,3
110,5
115,5
116,7
118,8
120,8
124,9
128,10
130,11
134,11
134,13
137,14
139,16
143,19
145,20
147,21
154,22
158,22
162,22
165,24
167,24
170,25
171,27
172,31
172,34
175,37
177,39
175,42
177,43
182,44
182,47
185,48
187,50
192,50
196,50
200,54
204,55
205,56
206,59
208,63
212,63
218,66
217,70
220,70
225,74
228,75
232,76
235,78
243,80
244,80
246,82
249,84
249,88
251,92
253,95
257,96
260,99
265,99
262,103
266,105
267,110
269,113
277,117
280,119
283,120
288,120
294,123
294,128
295,133
297,135
300,137
301,140
307,142
308,145
308,147
307,151
309,158
314,160
311,164
316,170
316,174
320,176
322,179
319,185
319,189
322,191
328,192
332,193
330,197
333,198
332,204
335,206
338,207
341,208
342,211
345,212
343,217
341,222
337,227
338,230
342,232
342,235
344,237
351,238
349,241
351,244
348,252
347,259
348,263
350,266
352,270
350,275
353,276
353,279
353,282
351,284
346,290
344,293
346,295
350,297
349,300
346,306
341,311
342,312
339,318
340,320
340,322
343,323
341,326
335,333
336,337
338,342
339,345
338,348
338,351
335,358
332,362
335,363
335,365
337,365
335,370
333,374
329,379
330,381
329,383
329,384
330,387
332,388
330,391
330,395
330,398
328,402
327,405
325,409
325,410
318,418
316,422
318,426
317,429
317,433
318,435
317,438
316,441
318,443
318,445
319,448
319,450
319,452
318,453
317,457
317,458
318,460
314,464
313,470
311,474
307,480
302,488
300,491
299,493
299,494
300,495
298,498
295,501
296,503
292,507
289,510
286,515
285,516
282,519
282,522
282,524
281,526
282,527
281,528
283,530
284,531
281,535
280,538
279,540
275,544
270,549
271,550
268,553
265,556
265,558
261,562
262,562
262,562
263,563
258,570
257,572
256,573
252,577
253,579
255,580
255,581
254,583
254,584
252,587
252,590
252,591
251,594
247,599
248,600
248,601
244,605
243,606
240,611
239,613
237,617
237,618
235,620
232,623
228,627
227,630
228,631
227,632
228,633
225,637
227,638
227,640
224,643
223,644
222,645
217,651
215,653
213,655
213,655
212,657
210,659
207,663
204,668
204,672
204,674
200,678
197,682
194,685
191,688
190,690
189,691
191,692
190,693
191,694
190,695
188,697
185,700
182,703
181,704
181,705
177,709
178,709
176,711
176,712
173,715
172,717
171,718
172,718
172,719
171,720
170,722
168,724
169,725
170,725
171,725
172,725
169,730
166,733
163,736
162,737
161,739
164,740
162,743
163,744
162,745
161,746
161,747
160,748
160,750
158,752
158,752
158,752
156,754
151,759
150,760
150,761
149,762
147,764
145,767
146,767
145,769
142,772
140,774
140,774
138,776
138,776
137,777
135,779
135,779
135,779
134,780
135,780
134,781
133,782
133,782
134,783
134,784
134,784
133,786
132,787
130,789
129,790
129,790
128,792
128,793
127,794
127,794
128,794
127,795
126,796
123,799
123,800
122,801
120,803
116,807
116,807
114,809
113,810
112,811
111,812
109,814
108,815
107,816
107,816
106,817
105,818
104,819
103,820
103,820
101,822
102,822
101,823
101,823
99,825
98,826
98,826
98,827
100,827
98,829
97,830
97,830
96,831
96,831
97,831
98,831
96,833
95,834
95,834
92,837
92,837
89,840
87,842
87,842
87,842
87,842
87,842
85,844
84,846
83,847
83,848
79,852
80,852
78,855
78,855
77,856
76,857
77,857
76,858
76,859
75,860
75,860
74,861
74,861
75,861
73,863
74,863
73,864
73,864
